code,name,synonyms,unit,tables,comments,examples
"F18D1F","fatty acid 18:1; expressed per quantity of total fatty acids","oleic acid; octadecenoic acid","g/100 g fatty acid","FRN, DAN, SWD","",""
"F18D1N7F","fatty acid 18:1 n-7; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F18D1CN9F","fatty acid 18:1 cis n-9","","g/100g total fatty acid","","",""
"F18D1N9F","fatty acid 18:1 n-9; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F18D1TN9F","fatty acid trans 18:1 n-9; expressed per quantity of total fatty acids","elaidic acid; octadecenoic acid","g/100 g fatty acid","MW, NE, FRN","",""
"F19D1N7F","fatty acid 19:1 n-7","","g/100g total fatty acid","","",""
"F20D1F","fatty acid 20:1; expressed per quantity of total fatty acids","gadoleic acid; eicosenoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F20D1N7F","fatty acid 20:1 n-7","","g/100g total fatty acid","","",""
"F20D1N9F","fatty acid 20:1 n-9","","g/100g total fatty acid","","",""
"F20D1N11F","fatty acid 20:1 n-11","","g/100g total fatty acid","","",""
"F22D1F","fatty acid 22:1; expressed per quantity of total fatty acids","erucic acid; cetoleic acid; docosenoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F22D1CN9F","fatty acid cis 22:1 n-9; expressed per quantity of total fatty acids","erucic acid; docosenoic acid","g/100 g fatty acid","FRN, SWD","",""
"F22D1N9F","fatty acid 22:1 n-9","","g/100g total fatty acid","","",""
"F22D1TN9F","fatty acid trans 22:1 n-9; expressed per quantity of total fatty acids","brassidic acid","g/100 g fatty acid","FRN","",""
"F23D1F","fatty acid 23:1; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F24D1F","fatty acid 24:1; expressed per quantity of total fatty acids","","g/100 g fatty acid","FRN","",""
"F16D2N4F","fatty acid 16:2 n-4","","g/100g total fatty acid","","",""
"F16D2N7F","fatty acid 16:2 n-7","","g/100g total fatty acid","","",""
"F16D3N3F","fatty acid 16:3 n-3","","g/100g total fatty acid","","",""
"F16D3N4F","fatty acid 16:3 n-4","","g/100g total fatty acid","","",""
"F16D4N1F","fatty acid 16:4 n-1","","g/100g total fatty acid","","",""
"F16D4N4F","fatty acid 16:4 n-4","","g/100g total fatty acid","","",""
"F18D2F","fatty acid 18:2; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F18D2CN3F","fatty acid 18:2cis n-3","","g","","",""
"F18D2CN6F","fatty acid cis,cis 18:2 n-6; expressed per quantity of total fatty acids","linoleic acid; octadecadienoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F18D2N4F","fatty acid 18:2 n-4","","g/100g total fatty acid","","",""
"F18D2N6F","fatty acid 18:2, n-6","","g/100g total fatty acid","","",""
"F18D2TN6F","fatty acid 18:2trans n-6","","g/100g total fatty acid","","",""
"F18D2N9F","fatty acid 18:2 n-9","","g/100g total fatty acid","","",""
"F18D3F","fatty acid 18:2; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F18D3N3F","fatty acid 18:3 n-3; expressed per quantity of total fatty acids","alpha-linolenic acid; octadecatrienoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F18D3N6F","fatty acid 18:3 n-6; expressed per quantity of total fatty acids","gamma-linolenic acid","g/100 g fatty acid","FRN","",""
"F18D4F","fatty acid 18:4; expressed per quantity of total fatty acids","parinaric acid; stearidonic acid; octadecatetraenoic acid","g/100 g fatty acid","NE, FRN","",""
"F18D4N3F","fatty acid 18:4 n-3; expressed per quantity of total fatty acids","","g/100 g fatty acid","FRN","",""
"F20D2F","fatty acid 20:2; expressed per quantity of total fatty acids","eicosadienoic acid","g/100 g fatty acid","FRN","",""
"F20D2N6F","fatty acid 20:2 n-6","","g/100g total fatty acid","","",""
"F20D3F","fatty acid 20:3; expressed per quantity of total fatty acids","eicosatrienoic acid","g/100 g fatty acid","FRN, DAN","",""
"F20D3N3F","fatty acid 20:3 n-3","","g/100g total fatty acid","","",""
"F20D3N6F","fatty acid 20:3 n-6","","g/100g total fatty acid, homogammalinolenic","","",""
"F20D3N9F","fatty acid 20:3 n-9","","g/100g total fatty acid","","",""
"F20D4F","fatty acid 20:4; expressed per quantity of total fatty acids","arachidonic acid","g/100 g fatty acid","FRN","",""
"F20D4N3F","fatty acid 20:4 n-3","","g/100g total fatty acid","","",""
"F20D4N6F","fatty acid 20:4 n-6; expressed per quantity of total fatty acids","arachidonic acid; eicosatetraenoic acid","g/100 g fatty acid","MW, NE, FRN, DAN, SWD","",""
"F20D5F","fatty acid 20:5; expressed per quantity of total fatty acids","eicosapentaenoic acid","g/100 g fatty acid","FRN","",""
"F20D5N3F","fatty acid 20:5 n-3; expressed per quantity of total fatty acids","eicosapentaenoic acid; EPA; timnodonic acid","g/100 g fatty acid","NE, FRN, DAN, SWD","",""
"F21D5N3F","fatty acid 21:5 n-3","","g/100g total fatty acid","","",""
"F22D2F","fatty acid 22:2; expressed per quantity of total fatty acids","docosadienoic acid","g/100 g fatty acid","FRN","",""
"F22D3F","fatty acid 22:3; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F22D4F","fatty acid 22:4; expressed per quantity of total fatty acids","docosatetraenoic acid","g/100 g fatty acid","FRN","",""
"F22D4N3F","fatty acid 22:4 n-3","","g/100g total fatty acid","","",""
"F22D5F","fatty acid 22:5; expressed per quantity of total fatty acids","docosapentaenoic acid","g/100 g fatty acid","FRN","",""
"F22D5N3F","fatty acid 22:5 n-3; expressed per quantity of total fatty acids","docosapentaenoic acid","g/100 g fatty acid","NE, FRN, DAN, SWD","",""
"F22D5N6F","fatty acid 22:5 n-6; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F22D6F","fatty acid 22:6; expressed per quantity of total fatty acids","docosahexaenoic acid","g/100 g fatty acid","FRN","",""
"F22D6N3F","fatty acid 22:6 n-3; expressed per quantity of total fatty acids","docosahexaenoic acid; DHA","g/100 g fatty acid","NE, FRN, DAN, SWD","",""
"F24D6","fatty acid 24:6; expressed per quantity of total fatty acids","","g/100 g fatty acid","NZ","",""
"F24D6F","fatty acid 24:6 n-6","","g/100g total fatty acid\nNote# this is a correction to 1993 version where terminal F was inadvertantly omitted","","",""
"FAESSF","fatty acids, total essential; expressed per quantity of total fatty acids","","g/100 g","FRN","Linoleic acid plus linolenic acid plus arachidonic acid.",""
"FAFREF","fatty acids, total free; expressed per quantity of total fatty acids","","g/100 g fatty acid","","",""
"FAMSF","fatty acids, total monounsaturated; expressed per quantity of total fatty acids","","g/100 g fatty acid","NE, FRN, DAN, SWD","",""
"FAPUF","fatty acids, total polyunsaturated; expressed per quantity of total fatty acids","","g/100 g fatty acid","NE, FRN, DAN, SWD","",""
"FAPUN3F","fatty acids, total n-3 polyunsaturated; expressed per quantity of total fatty acids","","g/100 g fatty acid","","",""
"FAPUN6F","fatty acids, total n-6 polyunsaturated; expressed per quantity of total fatty acids","","g/100 g fatty acid","","",""
"FASATF","fatty acids, total saturated; expressed per quantity of total fatty acids","","g/100 g fatty acid","NE, FRN, DAN, SWD","",""
"FATRNF","fatty acids, total trans; expressed per quantity of total fatty acids","","g/100 g fatty acid","","",""
"GLNN","glutamine; expressed per quantity of nitrogen","","mg/g nitrogen","","",""
"GLNP","glutamine; expressed per quantity of protein","","mg/100 g protein","","",""
"GLUN","glutamic acid; expressed per quantity of nitrogen","","mg/g nitrogen","MW, ETH, NE, EA, DAN, SWD","",""
"GLUP","glutamic acid; expressed per quantity of protein","","mg/100 g protein","","",""
"GLYN","glycine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, ETH, NE, EA, DAN, SWD","",""
"GLYP","glycine; expressed per quantity of protein","","mg/100 g protein","","",""
"HISN","histidine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"HISP","histidine; expressed per quantity of protein","","mg/100 g protein","","",""
"HYPN","hydroxyproline; expressed per quantity of nitrogen","","mg/g nitrogen","","",""
"HYPP","hydroxyproline; expressed per quantity of protein","","mg/100 g protein","","",""
"ILEN","isoleucine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"ILEP","isoleucine; expressed per quantity of protein","","mg/100 g protein","","",""
"LEUN","leucine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"LEUP","leucine; expressed per quantity of protein","","mg/100 g protein","","",""
"LYSN","lysine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"LYSP","lysine; expressed per quantity of protein","","mg/100 g protein","","",""
"METN","methionine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"METP","methionine; expressed per quantity of protein","","mg/100 g protein","","",""
"NPR","nitrogen-protein ratio","","None (The use of <UNIT/> is prohibited with this tagname since no unit is required for its value.)","NZ","Determined by dividing total nitrogen by total protein. In most cases, if <PROCNT> (cf.) is used with the <XN> subtag (for documentation purposes there), this value will be the same as the <XN> value.",""
"NPU","net protein utilization","NPU","None (The use of <UNIT/> is prohibited with this tagname since no unit is required for its value.)","USDA 267","Net protein utilization is the proportion of nitrogen intake that is retained. This value is the product of digestibility and the proportion of absorbed nitrogen that is retained (biological value).",""
"PER","protein efficiency ratio","PER","None (The use of <UNIT/> is prohibited with this tagname since no unit is required for its value.)","USDA 229","Protein efficiency ratio is defined as weight gain per weight of protein eaten.",""
"PH","pH, hydrogen ion concentration","","none","","",""
"PHEN","phenylalanine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"PHEP","phenylalanine; expressed per quantity of protein","","mg/100 g protein","","",""
"PRON","proline; expressed per quantity of nitrogen","","mg/g nitrogen","MW, ETH, NE, EA, DAN, SWD","",""
"PROP","proline; expressed per quantity of protein","","mg/100 g protein","","",""
"SERN","serine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, ETH, NE, EA, DAN, SWD","",""
"SERP","serine; expressed per quantity of protein","","mg/100 g protein","","",""
"TAUN","Taurine","","mg/g nitrogen","","",""
"THRN","threonine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, WTH, NE, EA, DAN, SWD","",""
"THRP","threonine; expressed per quantity of protein","","mg/100 g protein","","",""
"TRPN","tryptophan; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"TRPP","tryptophan; expressed per quantity of protein","","mg/100 g protein","","",""
"TYRN","tyrosine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"TYRP","tyrosine; expressed per quantity of protein","","mg/100 g protein","","",""
"VALN","valine; expressed per quantity of nitrogen","","mg/g nitrogen","MW, IND, ETH, NE, EA, DAN, SWD","",""
"VALP","valine; expressed per quantity of protein","","mg/100 g protein","","",""
EDIBLE,edible portion ,,%,,"The ‘edible portion’ is defined as (100 – refuse), where refuse is the inedible weight as a percent taken away from the “as purchased” or “as acquired” food before analysing the 100g edible part. If another definition is used, it should be specified. ",
REFUSE,refuse ,,%,,"Synonyms: or inedible material (also called waste)The refuse is defined as (100 – edible portion),  and represents the inedible weight as a percent of the “as purchased” or “as acquired” food before analysing the 100g edible part. If another definition is used, it should be specified. In addition to providing a value, it may be necessary to describe refuse in a food descriptor field.",
RUBA,Rubner conversion factors using available carbohydrate kilocalories,,kcal/g,,Rubner conversion factors using available carbohydrate kilocalories = (4.1 x g total protein) + (3.75 x g available carbohydrate expressed as monosaccharides) + (9.3 x g total           fat) + (7 x g alcohol). ,
RUBT,Rubner conversion factors using total carbohydrate           kilocalories,,kcal/g,,Rubner conversion factors using total carbohydrate           kilocalories = (4.1 x g total protein) + (4.1 x g total carbohydrate) + (9.3 x g total fat) + (7 x g alcohol). ,
ARGHIS,Sum of arginine + histidine,,mg,,Sum of arginine and histidine (from Slovak). ,
AANE,"amino acids, total non-essential",,mg,,"Sum of 11 non-essential amino acids: alanine, asparagine, aspartic acid, cysteine, glutamic acid, glycine, hydroxyproline and hydroxylysine, proline, serine, tyrosine (from Slovak)",
HYL,hydroxylysine,,mg,,"5-hydroxylysine, non-essential amino acid. Hydroxylysine is found only in animal proteins and mostly in collagens (from Slovak table). ",
ORN,Ornithine,,mg,,Amino acid with side chain - (CH2)3NH3+. (NCI). ,
TAU,Taurine,,mg,,Non-protein amino acid with sulfonic acid group (NCI). ,
CONPRO,connective tissue protein,,mg,,This term is not precisely defined in the table in which it appears. The Tagname should be construed as ``connective tissue protein as the term is used by Souci-Fachmann-Kraut'' ,
ELAN,elastin,,mg,,from Slovak table,
CHRPRO,chromoproteins,,mg,," class of conjugated proteins, such as hemoglobin, that contains a pigmented prosthetic group, such as heme. From Slovak table",
FBRN,fibrin,,mg,,from Slovak table,
HB,hemoglobin,,mg,,from Slovak table,
MB,myoglobin,,mg,,from Slovak table,
MEA,"ethanolamines, total",,g,,Emulsifier,
SPHL,Sphingolipid,,?,,"A class of dietary lipids containing a long-chained sphingosine group (unsaturated amino alcohol with formula C18H37NO2), fatty acids bound to the NH2 group as an amide, and either sugars or phosphoric acid and alcohols bound to the primary hydroxy group (NCI)",
F16D2,Fatty Acid 16:2,,g,,Hexadecadienoic Acid. A polyunsaturated fatty acids with 16 carbons and 2 double bonds. ,
F16D3,Fatty Acid 16:3,,g,,Hexadecatrienoic Acid. A polyunsaturated fatty acids with 16 carbons and 3 double bonds. ,
FAN3,"fatty acids, total n-3 ",,g,,A class of fatty acids with the first double bond at the 3rd carbon from the methyl end. ,
FAN6,"fatty acids, total n-6 ",,g,,A class of fatty acids with the first double bond at the 6th carbon from the methyl end. ,
FATCAN,"Fat, animal",,g,,,
FATCPL,"Fat, plant",,g,,,
GLYN,glycerine,,g,,from Slovak table,
PHOA,Phosphatidic Acid,,mg,,Simplest form of dietary phospholipid consisting of glycerol bound to two fatty acids and a phosphate group. (NCI),
PHOETHN,Phosphatidylethanolamine,cephalin (old term),mg,,Dietary phospholipid containing ethanolamine. (NCI),
PHOINOTL,Phosphatidylinositol,,mg,,Dietary phospholipid containing inositol. (NCI),
PHOSER,Phosphatidylserine,,mg,,Dietary phospholipid containing serine. (NCI),
PLG,Plasmalogen,,mg,,A glycerophospholipid with an enol ether double bond in the sn-1 position of its glycerol backbone. (NCI),
CHOAVLDF ,"carbohydrate, available; calculated by difference",,g,,"This value is calculated: 100 g minus total grams of water, protein, fat, alcohol, ash and dietary fibre; or CHOCDF – dietary fibre. ",
CHOAVL-,"carbohydrate, available;  method unknown or variable",,g,,This tag should be used if method is unknown or undocumented; may also be used if combinations of methods are used to calculate a mean.,
SUGAD,"sugar, added",,g,,,
MAN,Mannose,,g,,"A hexose which is an epimer at C-2 of glucose.  Structurally, it is a glucose with the OH and H groups interchanged at carbon-2. (NCI)",
FUCOS,Fucose,,g,,A hexose whose structure can be derived from galactose replacing the -OH group on carbon 6 with a hydrogen. (NCI),
TRES,trehalose,,g,,,
STASM,stachyose; expressed in monosaccharide equivalents,,g,,Tetrasacchride,
VERSM,verbascose; expressed in monosaccharide equivalents,,g,,Pentasaccharide,
FRUOLSAC,Fructooligosaccharide,,g,,NCI,
FRUOLSACM,Fructooligosaccharide; expressed in monosaccharide equivalents,,g,,,
POLYSAC,"polysaccharides, total",,g,,Sum of starch and non-starch-polysaccharides. DP >10,
STARES1,"starch, resistant RS1",,g,,"Resistant starch (RS1): physically protected or encapsulated, as in whole and partly milled grains.",
STARES2,"starch, resistant RS2",,g,,"Resistant starch (RS2): raw starchy foods, such as potatoes and green banana.",
STARES3,"starch, resistant RS3",,g,,Resistant starch (RS3): retrograded starch that has been gelatinised and then cooled.,
STARES4,"starch, resistant RS4",,g,,Resistant starch (RS4): starch in which chemical modification confers amylase resistance.,
STAHY,"starch, particially hydrolysed",,g,,,
STAHYM,"starch, particially hydrolysed; expressed in monosaccharide equivalents",,g,,,
STAMO,"starch, modified",,g,,,
STAMOM,"starch, modified; expressed in monosaccharide equivalents",,g,,,
GLYCM,glycogen; expressed in monosaccharide equivalents,,g,,-,
MALTDEX,maltodextrin,,g,,Partially hydrolysed starch.,
MALTDEXM,maltodextrin,,g,,Partially hydrolysed starch. Classification? ALSO IN MONOSACCH. EQ?,
GALTN,Galactan,,g,,Galactan is a polymer of the sugar galactose. It is found in hemicellulose and can be converted to galactose by hydrolysis.,
GLUMNM,glucomannan; expressed in monosaccharide equivalents,,g,,-,
MANNM,mannan; expressed in monosaccharide equivalents,,g,,-,
FRUTNM,fructan; expressed in monosaccharide equivalents,,g,,-,
GALMN,galactomannan,,g,,,
GALMNM,galactomannan; expressed in monosaccharide equivalents,,g,,,
CHITIN,chitin,,g,,from Slovak table,
GALURAC,galacturonic acid,,mg,,"D-Galacturonic acid is a sugar acid, the oxidized form of D-galactose. It is the main component of pectin, in which it exists as the polymer polygalacturonic acid",
ERYTHL,erythritol,,mg,,"from Slovak table. Erythritol (butane-1,2,3,4-tetraol) is a natural sugar alcohol ",
GALTL,galactitol  ,"dulcitol,",mg,,,
LACTL,lactitol,,mg,,,
MALTL,maltitol,,mg,,,
POLYL,"Polyols, total",,mg,,,
MALAC,malonic acid,"propanedioic acid, methanedicarboxylic acid",mg,,from Slovak table. ,
FORAC,formic acid,"methanoic acid, hydrogen carboxylic acid, aminic acid",mg,,from Slovak table,
PYRAC,pyruvic acid,"Propanoic acid, BTS;",mg,,,
LACACD,D-lactic acid,,mg,,From COST,
LACACL,L-lactic acid,,mg,,From COST,
GLYCLAC,glycolic acid,,mg,,Glycolic acid (or hydroxyacetic acid) is the smallest α-hydroxy acid (AHA).,
ASIO,"arsenic, inorganic",,mcg,,GEMS/Foods code 174,
ASO,"arsenic, organic",,mcg,,,
BI,bismuth,,mcg,,non essential trace element. (From Slovak table),
MO4+,molybdenum 4+,,mcg,,Molybdenum ion requiring four electrons to return to its elemental state.,
NI2+,nickel 2+,,mcg,,Nickel ion requiring two electrons to return to its elemental state.,
TI,titanum,,mcg,,Non essential trace element. (From Slovak table),
LA,lanthanum,,,,from Slovak table,
CS,cesium,Caesium,,,Non essential trace element. (From Slovak table) includes cesium (isotope 133) ,
CS137,cesium-137,,,,GEMS/Foods code 137 ,
ID131,iodide 131,iodine 131,mcg,,GEMS/Foods code 139,
PU239,plutonium 239,,,,GEMS/Foods code 140,
SR90,strontium 90,,mcg,,GEMS/Foods code 138,
ASIO,"arsenic, inorganic",,mcg,,GEMS/Foods code 174,
ASO,"arsenic, organic",,mcg,,,
RETOLEQ,"Summation, all-trans retinol equivalents = all-trans retinol + 0.75 13-cis retinol + 0.90 retinaldehyde",,mcg,,Used in the McCance and Widdowson (British) table,
XRETALD,Conversion factor for retinol equivalent of retinaldehyde,,,,In the British table equals 0.9,
XRETOL13,Conversion factor for retinol equivalent of 13-cis retinol,,,,In the British table equals 0.75,
RETINAC,retinoic acid,,mcg,,Retinoid with carboxylic acid group. (NCI),
RETOLDH,dehydroretinol,,mcg,,From COST,
CARTOID,"carotenoids, total",,mcg,,"cis and trans carotenoids, including non provitamin a carotenoids. This class includes carotenes, xanthophylls and may also include certain compounds that arise from rearrangement of the skeleton of ψ,ψ-carotene or by loss of part of this structure. Retinoids are excluded.",
XRCARTG,Conversion factor for RE of gamma-carotene,,none,,By convention equals 1/12 or 0.08.,
XRECARTA,Conversion factor for RE of alpha-carotene,,none,,By convention equals 1/6 or 0.17,
XRECARTB,Conversion factor for RE of beta-carotene,,none,,By convention equals 1/12 or 0.08.,
XRECARTBEQ,Conversion factor for RE of beta-carotene equivalent,,none,,By convention equals 1/12 or 0.08.,
XRECRYPXA,Conversion factor for RE of alpha-cryptoxanthin,,none,,By convention equals 1/12 or 0.08.,
XRECRYPXB,Conversion factor for RE of beta-cryptoxanthin,,none,,By convention equals 1/12 or 0.08.,
XBCARTG,Conversion factor for beta-carotene equivalent of gamma-carotene,,none,,By convention equals 1/2 or 0.5,
XBCARTA,Conversion factor for beta-carotene equivalent of alpha-carotene,,none,,By convention equals 1/2 or 0.5,
XBCRYPXA,Conversion factor for beta-carotene equivalent of alpha-cryptoxanthin,,none,,By convention equals 1/2 or 0.5,
XBCRYPXB,Conversion factor for beta-carotene equivalent of beta-cryptoxanthin,,none,,By convention equals 1/2 or 0.5,
CRYPXA,alpha-cryptoxanthin,,mcg,,-,
CRYPXB,beta-cryptoxanthin,,mcg,,-,
CTX,canthaxanthin,,mcg,,non provitamin A carotenoid,
ATX,Astaxanthin,,mcg,,NCI,
VITDEQ,Vitamin D3 + 5 x 25-hydroxycholecalciferol,,mcg,,Found in the McCance and Widdowson (British) and Danish tables,
ERGSTR,ergosterol,provitamin D2,mcg,,,
CHOCALOH,25-hydroxycholecalciferol,"Calcidiol, calcifediol, 25-hydroxycholecalciferol, or 25–hydroxy–vitamin D",mcg,,Found in the Danish table,
CHOCALDOH,"1,25 dihydroxycholecalciferol",Calcitriol,mcg,,,
ERGCALOH,25-hydroxyergocalciferol,,mcg,,,
XCHOCALOH,Conversion factor for vitamin D activity of 25-hydroxycholecalciferol,,none,,By convention equals 5. ,
XBTP,conversion factor for alpha-tocopherol equivalent of beta-tocopherol ,,none,,,
XGTP,conversion factor for alpha-tocopherol equivalent of gamma-tocopherol ,,none,,,
XDTP,conversion factor for alpha-tocopherol equivalent of delta-tocopherol ,,none,,,
XATT,conversion factor for alpha-tocopherol equivalent of alpha-tocotrienol ,,none,,,
XBTT,conversion factor for alpha-tocopherol equivalent of beta-tocotrienol ,,none,,,
XGTT,conversion factor for alpha-tocopherol equivalent of gamma-tocotrienol ,,none,,,
VITK1,vitamin K-1,phyllokinone,mcg,,,
VITK2,vitamin K-2,menakinone,mcg,,,
FOLSUM,"folate, sum of vitamers, determined by HPLC",folacin,mcg,,"Sum of folate vitamers determined by HPLC. Includes mostly tetrahydrofolate, 5-methyltetrahydrofolate, 5-formyltetrahydrofolate, 10-formylfolic acid, 10-formyldihydrofolate and folic acid",
FOLC,"folate, conjugated",,mcg,,Sum of polyglutamic forms of folates.,
XFOLAC,Conversion factor for dietary folate equivalent of synthetic folic acid,,none,,Conventionally 1.7,
THF,tetrahydrofolate,tetrahydrofolic acid,mcg,, Natural tetrahydrofolates occur only in the (6S)-form,
5MTHF,5-Methyltetrahydrofolate,,mcg,,,
5FTHF,5-Formyltetrahydrofolate,"(6S)-5-formyl-5,6,7,8-tetrahydrofolic acid",mcg,,,
5MDHF,"(6R,S)-5-methyl-5,6-
dihydrofolic acid",,mcg,,,
10FDHF,10-formyldihydrofolate,,mcg,,,
DHF,"7,8-dihydrofolic acid;",,mcg,,,
10FFOLAC,10-formylfolic acid ,,mcg,,,
FOL-,"Folate, method unknown or variable",,mcg,,,
XTRP,Conversion factor for niacin equivalent of tryptophan,,none,,Conventionally 1/60,
VITB6-,"vitamin B-6, total; method unknown or variable",,mg,,,
PYRXNHCL,Pyridoxine HCl,,,,Fortificant form of vitamin B6,
VITC-,vitamin C; method unknown or variable,,mg,,,
AVEDT,"avenasterol, total",,mg,,From COST ,
CAMT,"campesterol, total",,mg,,From COST ,
FUCSTR,fucosterol,,mg,,From COST,
PHYTSTRU,"phytosterol, unsaturated",,mg?,,Phytosterol with at least one double bond in the sterol ring.,
STGSTR,"stigmasterol, unspecified",,mg,,From COST,
LIGNANS,"lignans, total",,mg,,From COST. ,
MATAIRES,matairesinol,,mg,,From COST ,
SECORES,secoisolarisiresinol,,mg,,From COST ,
AAE7,"amino acids, total essential excluding tryptophan",,mg,,"The sum of seven out of the eight essential amino acids for man (excluding tryptophan): isoleucine, leucine, lysine, methionine, phenylalanine, threonine, and valine ",
AAE9,"amino acids, total essential (9) ",,mg,,"Includes the basic essential amino acids (isoleucine, leucine, lysine, methionine, phenylalanine, threonine, tryptophan, and valine) plus histidine. ",
AAT19,sum of 19 amino acids (excluding tryptophan),,mg,,"Sum of 19 amino acids (excluding tryptophan): alanine, arginine, asparagine, aspartic acid, cysteine, glutamic acid, glutamine, glycine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tyrosine and valine.",
AAT20,sum of 20 amino acids,,mg,,"Sum of all 20 amino acids: alanine, arginine, asparagine, aspartic acid, cysteine, glutamic acid, glutamine, glycine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine and valine.  ",
AAT24,"amino acids, total",,mg,,"Sum of all 24 amino acids: alanine, arginine, asparagine, aspartic acid, cysteine, glutamic acid, glutamine, glycine, histidine, hydroxylysine, hydroxyproline, isoleucine, leucine, lysine, methionine, ornithine, phenylalanine, proline, serine, taurine, threonine, tryptophan, tyrosine and valine. ",
ACESK,acesulfam-K,,mg,,From EuroFIR,
ADEN,adenine,,mg,,from Slovak table,
ANTCYAN,"Anthocyanidin, total",,mcg,,A flavonoid with a positively charged oxygen in the pyran moiety; has 5 double bonds in the benzopyran group (NCI); in free form and not as glycosides.,
APIGEN,apigenin,,mcg,,A flavone with one hydroxyl group on the B-ring and a second hydroxyl group on the A-ring.,
AS3+,arsenic 3+,Arsenic III,mcg,,,
AS5+,arsenic 5+,Arsenic V,mcg,,,
ASPM,aspartame,,mg,,From EuroFIR,
CADAVT,cadaverine,,mcg,,From EuroFIR,
CAPSA,capsaicin,,,,From Pennington’s article,
CARTBCIS,"beta-carotene, cis",,mcg,,"From EuroFIR. Use for the total of beta-carotene cis isomers The main cis isomers detected in foods are the 13-cis and 9-cis forms, although other forms have also been found (mainly 15-cis and various di-cis isomers)",
CATEC,"catechins, total",,mcg,,From COST and Pennington’s article,
CO2+,cobalt 2+,,mcg,,,
CO2F,"carbon dioxide, free",,mg,,From EuroFIR,
CO3+,cobalt 3+,,mcg,,,
COUMEST,coumestrol,"Chrysanthin,   Coumestrol,   Cumoesterol,   Cumoestrol,   Cumostrol, ",mcg,,From EuroFIR,
CR3+,chromium 3+,,mcg,,,
CR6+,chromium 6+,,mcg,,,
CU1+,copper 1+,"Cuprous, copper I",mg,,,
CU2+,copper 2+,"Cupric, copper II",mg,,,
CYAD,Cyanidin,,mcg,,"An anthocyanidin with hydroxyl groups at C-3, -5, -7, -3', and  -4'; in free form and not as glycosides.                                   ",
CYCL,cyclamate,,mcg,,From EuroFIR,
CYSTE,cysteine,,mg,,From EuroFIR. Use only for L-cysteine,
DELPH,Delphinidin,,mcg,,"An anthocyanidin with hydroxyl groups at C-3, -5, -7, -3', -4', and -5'; in free form and not as glycosides.                                ",
ENERPA,"energy, percent contributed by alcohol",,%,,"The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage. It is aknowledged that this value is dependant on other values which can vary, i.e. conversion factors and macronutrients,  but is was decided not to be prescriptive.",
ENERPDF,"energy, percent contributed by dietary fibre",,%,,"The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage. It is aknowledged that this value is dependant on other values which can vary, i.e. conversion factors and macronutrients,  but is was decided not to be prescriptive.",
ENERPSA,"energy, percent contributed by added sugar",,%,,"The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage. It is aknowledged that this value is dependant on other values which can vary, i.e. conversion factors and macronutrients,  but is was decided not to be prescriptive.",
ENERPSN,"energy, percent contributed by natural sugar",,%,,"The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage. It is aknowledged that this value is dependant on other values which can vary, i.e. conversion factors and macronutrients,  but is was decided not to be prescriptive.",
EPICATEC,epicatechin,,mcg,,A catechin with the R configuration at C-2 and C-3.(NCI),
